step,wp0_x,wp0_y,wp1_x,wp1_y,ego_speed,steer,throttle,brake
161,0.0761,-0.0045,1.3970,-0.0101,3.4713,-0.0044,0.7500,0.0000
162,0.0766,0.0016,1.4998,-0.0035,3.4230,0.0001,0.7500,0.0000
163,0.0691,0.0033,1.5152,-0.0049,3.5529,-0.0004,0.7500,0.0000
164,0.0987,-0.0040,1.5818,-0.0278,3.8830,-0.0074,0.7500,0.0000
165,0.1007,-0.0109,1.5770,-0.0208,4.2695,-0.0062,0.7500,0.0000
166,0.0997,-0.0181,1.5655,-0.0250,4.6650,-0.0092,0.7500,0.0000
167,0.0975,-0.0270,1.5407,-0.0344,5.0620,-0.0133,0.0000,0.0000
168,0.1074,-0.0393,1.5234,-0.0501,5.0853,-0.0195,0.0995,0.0000
169,0.1333,-0.0541,1.5300,-0.0679,4.9539,-0.0263,0.3770,0.0000
170,0.1644,-0.0675,1.5632,-0.0837,4.8134,-0.0321,0.7500,0.0000
171,0.1900,-0.0743,1.6087,-0.0840,4.8478,-0.0328,0.7500,0.0000
172,0.1933,-0.0732,1.6246,-0.0708,5.1188,-0.0300,0.0000,0.0000
173,0.1644,-0.0717,1.5773,-0.0625,5.0625,-0.0297,0.0841,0.0000
174,0.6688,0.0866,2.6286,0.2379,0.0000,0.0560,0.7500,0.0000
175,0.6688,0.0866,2.6286,0.2379,0.0000,0.0408,0.7500,0.0000
176,0.6688,0.0866,2.6286,0.2379,0.0000,0.0421,0.7500,0.0000
177,0.6688,0.0866,2.6286,0.2379,0.0000,0.0435,0.7500,0.0000
178,0.6688,0.0866,2.6286,0.2379,0.0000,0.0449,0.7500,0.0000
179,0.6688,0.0866,2.6286,0.2379,0.0000,0.0463,0.7500,0.0000
180,0.6696,0.0868,2.6309,0.2379,0.1582,0.0475,0.7500,0.0000
181,0.6693,0.0865,2.6310,0.2366,0.8206,0.0486,0.7500,0.0000
182,0.6794,0.0710,2.6739,0.1979,1.1432,0.0403,0.7500,0.0000
183,0.6796,0.0689,2.6727,0.1927,1.4190,0.0420,0.7500,0.0000
184,0.7050,0.0659,2.6733,0.1914,1.6563,0.0425,0.7500,0.0000
185,0.6996,0.0648,2.6683,0.1886,1.9169,0.0433,0.7500,0.0000
186,0.6985,0.0641,2.6695,0.1863,2.2392,0.0442,0.7500,0.0000
187,0.7055,0.0634,2.6790,0.1835,2.6060,0.0449,0.7500,0.0000
188,0.7160,0.0618,2.6902,0.1785,3.0120,0.0453,0.7500,0.0000
189,0.7274,0.0596,2.7000,0.1739,3.4494,0.0459,0.7500,0.0000
190,0.7320,0.0594,2.7038,0.1718,3.9019,0.0475,0.7500,0.0000
191,0.7142,0.0560,2.6803,0.1654,4.3164,0.0479,0.7500,0.0000
192,0.7069,0.0556,2.6731,0.1639,4.7173,0.0496,0.7500,0.0000
193,0.6732,0.0474,2.6370,0.1481,5.1155,0.0476,0.7500,0.0000
194,0.6648,0.0470,2.6251,0.1454,5.2234,0.0474,0.7500,0.0000
195,0.6527,0.0435,2.6131,0.1383,5.1856,0.0452,0.7500,0.0000
196,0.6558,0.0445,2.6150,0.1365,5.3036,0.0448,0.7500,0.0000
